prod,htc,nhtc,rat,dur,fem,mle,pair,fam
30,na,na,na,na,mrace,drace,md,owd23
17,na,na,na,na,mrace,drace,md,owd23
5,0,5,0,11,mrace,drace,md,mdn2
12,8,4,0.666666667,10,mrace,drace,md,mdn2
22,14,8,0.636363636,8,mrace,drace,md,mdn2
14,14,0,1,9,mrace,drace,md,mdn2
28,16,12,0.571428571,na,mrace,drace,md,mdn2
29,15,14,0.517241379,na,mrace,drace,md,mdn2
17,10,7,0.588235294,14,mrace,drace,md,mdn2
16,na,na,na,na,mrace,drace,md,mdn2
8,na,na,na,na,mrace,drace,md,mdn2
29,22,7,0.75862069,11,mrace,drace,md,mdn3
13,5,8,0.384615385,10,mrace,drace,md,mdn3
16,1,15,0.0625,12,mrace,drace,md,mdn3
32,2,30,0.0625,na,mrace,drace,md,mdn3
14,7,7,0.5,na,mrace,drace,md,mdn3
20,4,16,0.2,11,mrace,drace,md,mdn3
11,na,na,na,na,mrace,drace,md,mdn3
16,na,na,na,na,mrace,drace,md,mdn3
11,0,11,0,11,mrace,drace,md,mdn5
15,9,6,0.6,12,mrace,drace,md,mdn5
4,0,4,0,na,mrace,drace,md,mdn5
31,6,25,0.193548387,14,mrace,drace,md,mdn5
13,12,1,0.923076923,10,mrace,drace,md,mdn6
13,5,8,0.384615385,9,mrace,drace,md,mdn6
23,21,2,0.913043478,9,mrace,drace,md,mdn6
9,0,9,0,na,mrace,drace,md,mdn6
11,6,5,0.545454545,9,mrace,drace,md,mdn6
14,6,8,0.428571429,na,mrace,drace,md,mdn6
17,5,12,0.294117647,16,mrace,drace,md,mdn6
12,7,5,0.583333333,12,mrace,drace,md,mdn6
8,4,4,0.5,17,mrace,drace,md,mdn6
11,7,4,0.636363636,15,mrace,drace,md,mdn6
15,6,9,0.4,12,mrace,drace,md,mdn6
8,0,8,0,na,mrace,drace,md,mdn4
16,13,3,0.8125,9,mrace,drace,md,mdn4
11,6,5,0.545454545,16,mrace,drace,md,mdn4
14,9,5,0.642857143,19,mrace,drace,md,mdn4
6,6,0,1,18,mrace,drace,md,mdn4
19,8,11,0.421052632,15,mrace,drace,md,mdn4
13,2,11,0.153846154,10,mrace,drace,md,mdn1
12,5,7,0.416666667,10,mrace,drace,md,mdn1
12,0,12,0,na,mrace,drace,md,mdn8
34,2,32,0.058823529,na,mrace,drace,md,mdn8
14,0,14,0,na,mrace,drace,md,mdn8
11,0,11,0,na,mrace,drace,md,mdn8
9,0,9,0,na,drace,mrace,dm,dm71
13,2,11,0.153846154,13,drace,mrace,dm,dm71
5,0,5,0,na,drace,mrace,dm,dm71
2,0,2,0,na,drace,mrace,dm,dm71
6,0,6,0,na,drace,mrace,dm,dm71
11,0,11,0,na,drace,mrace,dm,dm71
6,1,5,0.166666667,10,drace,mrace,dm,dm71
